label	x_train
0	打不打
0	刚刚。
0	来
0	嘻嘻
0	休息
0	曹丰路
0	留个言行不行
0	QQ
0	你以为你很牛*呀？
0	不给
0	你是想看看我号上有没有小哥哥吧
0	有金卷
0	1050
0	啥事
0	1044
0	没有啦
0	1052
0	嗯
0	我就知道
0	认真了
0	OK
0	1006
0	拉我
0	我想想怎么留
0	不骂人
0	怎么现在的人球都合不起来
0	曲涵仪
0	来
0	不是打团？
0	四川成都仁寿的
0	8和9
0	额
0	1014
0	肯定在外面有狗子了
0	行
0	就是跟和平精英差不多的
0	1041
0	你邀我
0	1042
0	不打
0	明天没课我还想着熬熬夜呢555
0	要连麦打不
0	什么
0	去尼的吧
0	那我给你刷彩豆可以吗
0	好
0	我***你们玩
0	1006
0	十一点开始
0	z直接刷秒回
0	我都懵*
0	行
0	介简单
0	有什么骗什么
0	1039
0	group3/M00/F9/5B/o4YBAGIkESKAS-5pAAAQRlNMobg236.amr
0	很抱歉抱歉这把我的错很大
0	没事，我知道啦
0	睡吧
0	踩我
0	没事你叫我妍妍吧
0	哈哈哈
0	1045
0	来不来了
0	上线发给我小姐姐
0	你个猪
0	我中午回家吃饭了
0	这样对你不好吗  你对我放手吧 求你了 找个啥样的不行
0	打不打
0	我看你说的话就送了
0	在吗？
0	多少礼物
0	那个号也上了就到留言板的号
0	有没有1千的
0	有事嘛
0	我不是很会玩
0	1006
0	我有号
0	好
0	怎么说
0	0.8r4个二塔牌
0	在打一局
0	互什么。
0	你先开个头
0	我先打一局
0	1019
0	我服了
0	啊哈
0	真滴？
0	我是学生，没得多少钱
0	马上登顶
0	每次有不互
0	你江西哪
0	下好了，然后勒
0	谢了
0	烦死了
0	我未成年
0	广西吗？
0	谁
0	下把我拉你撞我好友的房
0	想要吗
0	可以的
0	10k吗
0	借给我一点钱行吗
0	1020
0	不用
0	我不是本人诶
0	拉我打团
0	都说了不要叫
0	？
0	？
0	**进不去
0	哈哈哈 按边
0	没有VIP进不了
0	互送个如意呗
0	房租咋样
0	下周见
0	宝宝玩不玩
0	哦
0	啊这
0	快点
0	不想打你就说就行，不必勉强
0	1021
0	等一下
0	我抽烟一下
0	1041
0	不像吗？
0	情侣关系
0	ww-031210
0	去玩吧
0	1044
0	好
0	团巨来不
0	1039
0	1044
0	我回你凤冠
0	每赛季超神
0	大学的课不咋多
0	1039
0	1044
0	？
0	为什么换
0	1036
0	还有两个小时
0	只有开心了才有心情学
0	好吧
0	？？
0	可以
0	多练练
0	1050
0	那波我应该能吃他一点给我炸三个
0	啊
0	太生气了
0	你啥时候困了，就***
0	知道了
0	上次给的扣扣搜不到
0	不要真实我
0	1051
0	我都可以
0	复习了呀
0	都是好友
0	1013
0	我进你房间吧
0	来
0	你有***
0	等一个人
0	你要睡觉了吗
0	不先就算了
0	吃会牛子，听话
0	我先***
0	有点事
0	我是横峰的
0	你手指的方向就是我的战场
0	998
0	我都说了我只有10k的
0	那你首付最起码得100啊
0	1026
0	我王国里面口碑挺好的
0	不玩这个了
0	你开
0	1022
0	这里不好说
0	都是你好友吗
