label	x_train
0	这游戏不是人玩的，搞得那么卡。
1	这个头像的原图谁有，在线急求
1	微信建了一个ps设计 摄影 视频剪辑 动漫设计交流学习群，想加入的可以扫我，进群只要不打广告就可以的呢～
1	吧友租这个号联系我反19.9%
1	躺赚躺赚，借用打游戏的20秒就可轻松搞定。
1	陪伴着走下去，原意呆身边的y+
1	有固定队友，想带俩小弟，愿意跟的私我.加V
1	有没有一起玩的，我ID天使头恶魔心                  :           有没有一起玩的，我ID天使头恶魔心
1	卖号50出皮肤等级较高，有一个魔灵，有棒棒糖和金蘑菇（赠的）皮肤有很多页没有全部挂上去，用钱堆到现在也不容易，求心里有个安慰，生存有100多张劵不放心可以走咸鱼求求你们啦
1	很久没有遇到这么爽快的了，话不多说干就完了球球粉丝，爱心礼物金蘑菇礼物代刷，代挂敬请期待代挂段位，冰冰同款加速器dd.详情Q2735807691
0	差到不行。。。
1	出号支持平台交易骗子不要来、要的私我
1	有没有组cp的，我王者段位??                  :           有没有组cp的，我王者段位??
1	经常玩生存道具塞＋ 我想躺赢 hhh
0	Lj游戏: 真的是lj游戏 呵呵哒
0	真是不知道说什么了，对网的要求太高了，卡的一批，5G网速都不能满足这个游戏，加速器也没用，开发商不会看看吗，那么多差评。
1	求教  哪个算是水滴孢子 为什么说水滴孢子好用？
0	【求队友】: 求一个双冠队友 最近都是挂机队友 整的我心态崩了 不求你技术多好  主要别总是在红色区域浪费我生命就行 还有 死了就别复活了
1	打球色加下qq2729653286关注下id帝易寒稳定找队友中！
1	注册下载升到六级，找我领取6元，升到18级你在找我领取9.9元，升到37级在给你29.9元，你在拉一个徒弟升到37级你在找我领取29.9元。
1	个签
0	回归了半年吧，这**游戏早晚黄在队友匹配上面.
1	圈子+各种处: 小暖心圈拉我女孩+男孩+优质+不处对象素质处关系{{1553791473:0}}
1	###...^_^###: 全服公益&nbsp;&nbsp;&nbsp;进来认准老虎&nbsp;??
1	出礼物，令牌位，有意留言
1	###...^_^###: 传说，元宝可换取游戏一切物品官方同步更新，最新版本⭐非市面上的大圣轮回⭐上线送VIP25，送{{10000000:1}}元宝，更有转生领取大量元宝⭐独家系统:三大心法，神铸，结婚孕育子女，炼魂，坐骑宠物等觉醒飞升技能，雀神卡牌，更多系统进群体验⭐每天推广领取超多元宝！真正的公益服！长久耐玩，稳定持续更新！百人战区，万人在线白嫖成神！装备不花一分钱平民的天堂！爽到爆超强体验-火爆人气-H5传说【传说】【24号9区开启】：{{https://jq.qq.com/?_wv=1027&amp;k=5YxkPBB}}
0	一点都不好玩??????????
1	猎魔群有无？
1	测试服 看中q2861164812 给你安装包
1	id 躲避 换id到另外一个号时 被蹲了
1	这什么情况啊？娱乐一下不让玩啊
1	出售球球号，真心实意的来➕微16695011227
0	球球大作战，给个说法，否则你公司必须破产，我要到央视举报，
1	来个打自由的队友
0	差评都是给的有点多了，网络差是几个意思，匹配机制是什么狗儿，还有那个报告，有啥用，还不是一样的卡!真的搞不懂
1	处对象，刚回游，不嫌弃的私聊我
0	求你们赶紧把系统搞好，把服务器搞顺畅吧，我TM心态给你们搞没了，一玩游戏就给老子延迟，玩你ma呢？
1	收个有满级飞机凯旋的号 我出三千 可不走平台
